336, 63, 51, 45, 0, 4, 61, 4, 42, 36, 
321, 15, 56, 30, 14, 36, 51, 8, 3, 44, 
319, 46, 48, 63, 34, 60, 19, 20, 43, 60, 
311, 34, 37, 60, 48, 32, 37, 48, 5, 24, 
307, 55, 18, 56, 14, 28, 1, 45, 14, 2, 
325, 46, 48, 46, 47, 52, 19, 20, 11, 60, 
324, 63, 62, 14, 12, 4, 55, 0, 43, 44, 
317, 63, 23, 45, 0, 4, 19, 20, 43, 60, 
312, 46, 48, 63, 46, 28, 1, 45, 14, 2, 
311, 34, 37, 60, 48, 32, 37, 48, 5, 24, 
342, 63, 54, 47, 0, 4, 19, 16, 43, 56, 
333, 62, 56, 14, 38, 4, 17, 10, 15, 0, 
325, 46, 48, 46, 47, 52, 19, 22, 11, 59, 
325, 46, 48, 46, 47, 52, 18, 20, 5, 26, 
311, 46, 48, 61, 46, 28, 1, 45, 14, 2, 
342, 63, 54, 46, 38, 4, 17, 14, 15, 0, 
342, 63, 54, 47, 0, 0, 19, 16, 43, 56, 
333, 62, 56, 14, 38, 4, 16, 10, 7, 2, 
328, 46, 57, 38, 47, 20, 17, 6, 15, 3, 
325, 46, 48, 46, 43, 52, 18, 20, 5, 26, 
342, 63, 54, 46, 6, 4, 23, 12, 47, 58, 
342, 63, 54, 46, 38, 4, 16, 14, 7, 2, 
335, 63, 36, 47, 0, 0, 16, 8, 7, 2, 
333, 62, 48, 14, 38, 4, 0, 10, 7, 2, 
326, 62, 56, 10, 6, 4, 0, 2, 7, 2, 
342, 63, 54, 46, 38, 4, 0, 14, 7, 10, 
342, 63, 54, 46, 38, 4, 17, 14, 39, 18, 
342, 63, 54, 46, 38, 4, 21, 14, 39, 50, 
342, 63, 54, 46, 36, 4, 32, 10, 15, 2, 
339, 63, 38, 47, 0, 0, 16, 8, 7, 2, 
342, 63, 54, 46, 38, 4, 17, 10, 39, 18, 
342, 63, 54, 46, 38, 4, 26, 14, 7, 26, 
342, 63, 54, 46, 38, 4, 32, 10, 15, 2, 
342, 63, 54, 46, 63, 4, 8, 12, 7, 2, 
342, 63, 54, 46, 38, 4, 23, 14, 39, 50, 
343, 63, 52, 46, 54, 5, 16, 12, 7, 34, 
342, 63, 54, 46, 38, 4, 17, 14, 7, 18, 
342, 63, 54, 46, 38, 4, 9, 10, 7, 26, 
342, 63, 54, 46, 38, 4, 17, 10, 23, 34, 
342, 63, 54, 46, 63, 4, 9, 10, 7, 18, 
351, 31, 54, 46, 39, 4, 9, 11, 7, 18, 
342, 63, 54, 46, 50, 5, 17, 14, 15, 18, 
342, 47, 52, 46, 54, 4, 17, 10, 23, 34, 
342, 63, 54, 44, 54, 4, 9, 12, 39, 50, 
